,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Device number: 1500673,,,,,,,,,,,,,,,,,,,,,,,
Name,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23
Measuring mode,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance
Correction,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset
Date,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025,15/05/2025
Time,15:25:57,15:28:26,15:30:58,15:33:21,15:33:41,15:34:00,15:34:21,15:34:37,15:34:51,15:35:10,15:35:28,15:35:49,15:36:08,15:36:43,15:37:02,15:37:21,15:37:41,15:38:00,15:38:16,15:38:34,15:38:56,15:39:15,15:39:35
Calibration file,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24,#3 focus 0.5mm Mar24
Sync. frequency [Hz],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
T_int [ms],60 * 1000.000,60 * 1000.000,60 * 1000.000,1 * 777.700,4 * 161.840,4 * 117.080,5 * 88.760,5 * 73.490,5 * 60.970,5 * 52.890,8 * 45.900,8 * 40.860,8 * 36.850,8 * 33.380,8 * 31.550,8 * 28.790,8 * 26.880,8 * 25.060,8 * 23.330,8 * 22.120,8 * 20.690,8 * 19.870,8 * 19.430
Averages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
Lv [cd/sqm] (CIE1931 2°),3.345E-02,2.977E-02,2.860E-02,7.466E-01,3.279E+00,4.603E+00,6.127E+00,7.484E+00,8.758E+00,1.035E+01,1.172E+01,1.317E+01,1.447E+01,1.565E+01,1.749E+01,1.880E+01,2.008E+01,2.152E+01,2.329E+01,2.433E+01,2.573E+01,2.706E+01,2.778E+01
